UF;regional;municipio
RS;13º CRE (Bagé);Aceguá
RS;7º CRE (Passo Fundo);Água Santa
RS;24º CRE (Cachoeira do Sul);Agudo
RS;36º CRE (Ijuí);Ajuricaba
RS;17º CRE (Santa Rosa);Alecrim
RS;10º CRE (Uruguaiana);Alegrete
RS;17º CRE (Santa Rosa);Alegria
RS;39º CRE (Carazinho);Almirante Tamandaré do Sul
RS;20º CRE (Palmeira das Missões);Alpestre
RS;25º CRE (Soledade);Alto Alegre
RS;2º CRE (São Leopoldo);Alto Feliz
RS;28º CRE (Gravataí);Alvorada
RS;5º CRE (Pelotas);Amaral Ferrador
RS;20º CRE (Palmeira das Missões);Ametista do Sul
RS;16º CRE (Bento Gonçalves);André da Rocha
RS;3º CRE (Estrela);Anta Gorda
RS;4º CRE (Caxias do Sul);Antônio Prado
RS;12º CRE (Guaíba);Arambaré
RS;2º CRE (São Leopoldo);Araricá
RS;15º CRE (Erechim);Aratiba
RS;3º CRE (Estrela);Arroio do Meio
RS;5º CRE (Pelotas);Arroio do Padre
RS;11º CRE (Osório);Arroio do Sal
RS;24º CRE (Cachoeira do Sul);Arroio do Tigre
RS;12º CRE (Guaíba);Arroio dos Ratos
RS;5º CRE (Pelotas);Arroio Grande
RS;25º CRE (Soledade);Arvorezinha
RS;36º CRE (Ijuí);Augusto Pestana
RS;15º CRE (Erechim);Áurea
RS;13º CRE (Bagé);Bagé
RS;11º CRE (Osório);Balneário Pinhal
RS;2º CRE (São Leopoldo);Barão
RS;15º CRE (Erechim);Barao de Cotegipe
RS;12º CRE (Guaíba);Barão do Triunfo
RS;21º CRE (Três Passos);Barra do Guarita
RS;10º CRE (Uruguaiana);Barra do Quaraí
RS;12º CRE (Guaíba);Barra do Ribeiro
RS;15º CRE (Erechim);Barra do Rio Azul
RS;39º CRE (Carazinho);Barra Funda
RS;15º CRE (Erechim);Barracão
RS;25º CRE (Soledade);Barros Cassal
RS;15º CRE (Erechim);Benjamin Constant do Sul
RS;16º CRE (Bento Gonçalves);Bento Gonçalves
RS;20º CRE (Palmeira das Missões);Boa Vista das Missões
RS;17º CRE (Santa Rosa);Boa Vista do Buricá
RS;9º CRE (Cruz Alta);Boa Vista do Cadeado
RS;9º CRE (Cruz Alta);Boa Vista do Incra
RS;16º CRE (Bento Gonçalves);Boa Vista do Sul
RS;23º CRE (Vacaria);Bom Jesus
RS;2º CRE (São Leopoldo);Bom Princípio
RS;21º CRE (Três Passos);Bom Progresso
RS;3º CRE (Estrela);Bom Retiro do Sul
RS;6º CRE (Santa Cruz do Sul);Boqueirão do Leão
RS;32º CRE (São Luiz Gonzaga);Bossoroca
RS;36º CRE (Ijuí);Bozano
RS;21º CRE (Três Passos);Braga
RS;2º CRE (São Leopoldo);Brochier
RS;12º CRE (Guaíba);Butiá
RS;13º CRE (Bagé);Caçapava do Sul
RS;8º CRE (Santa Maria);Cacequi
RS;24º CRE (Cachoeira do Sul);Cachoeira do Sul
RS;28º CRE (Gravataí);Cachoeirinha
RS;15º CRE (Erechim);Cacique Doble
RS;32º CRE (São Luiz Gonzaga);Caibaté
RS;20º CRE (Palmeira das Missões);Caiçara
RS;12º CRE (Guaíba);Camaquã
RS;7º CRE (Passo Fundo);Camargo
RS;4º CRE (Caxias do Sul);Cambará do Sul
RS;23º CRE (Vacaria);Campestre da Serra
RS;17º CRE (Santa Rosa);Campina das Missões
RS;15º CRE (Erechim);Campinas do Sul
RS;2º CRE (São Leopoldo);Campo Bom
RS;21º CRE (Três Passos);Campo Novo
RS;25º CRE (Soledade);Campos Borges
RS;6º CRE (Santa Cruz do Sul);Candelária
RS;17º CRE (Santa Rosa);Cândido Godói
RS;13º CRE (Bagé);Candiota
RS;4º CRE (Caxias do Sul);Canela
RS;5º CRE (Pelotas);Canguçu
RS;27º CRE (Canoas);Canoas
RS;3º CRE (Estrela);Canudos do Vale
RS;7º CRE (Passo Fundo);Capão Bonito do Sul
RS;11º CRE (Osório);Capão da Canoa
RS;35º CRE (São Borja);Capão do Cipó
RS;5º CRE (Pelotas);Capão do Leão
RS;2º CRE (São Leopoldo);Capela de Santana
RS;3º CRE (Estrela);Capitão
RS;11º CRE (Osório);Capivari do Sul
RS;11º CRE (Osório);Caraá
RS;39º CRE (Carazinho);Carazinho
