sg_uf,regional,curso,no_curso_aj,vagas,concluintes,demanda,qtd_bolsas_elegiveis
RS,10º CRE (Uruguaiana),Pedagogia,pedagogia,1,16,50,0
RS,10º CRE (Uruguaiana),Biologia,biologia,93,5,1,0
RS,10º CRE (Uruguaiana),Educação física,educacaofisica,187,25,3,0
RS,10º CRE (Uruguaiana),Matemática,matematica,316,12,8,0
RS,10º CRE (Uruguaiana),Química,quimica,60,4,1,0
RS,28º CRE (Gravataí),Pedagogia,pedagogia,258,9,125,116
RS,13º CRE (Bagé),Física,fisica,232,5,1,0
RS,13º CRE (Bagé),Língua Portuguesa,linguaportuguesa,154,13,6,0
RS,13º CRE (Bagé),Matemática,matematica,208,6,6,0
RS,13º CRE (Bagé),Artes,artes,67,4,2,0
RS,13º CRE (Bagé),Química,quimica,212,3,1,0
RS,13º CRE (Bagé),Pedagogia,pedagogia,66,27,43,16
RS,13º CRE (Bagé),Biologia,biologia,60,3,1,0
RS,13º CRE (Bagé),Educação física,educacaofisica,50,12,2,0
RS,13º CRE (Bagé),História,historia,70,3,2,0
RS,16º CRE (Bento Gonçalves),Biologia,biologia,100,1,1,0
RS,16º CRE (Bento Gonçalves),Educação física,educacaofisica,61,6,3,0
RS,16º CRE (Bento Gonçalves),Geografia,geografia,103,23,3,0
RS,16º CRE (Bento Gonçalves),Pedagogia,pedagogia,234,20,59,39
RS,16º CRE (Bento Gonçalves),Física,fisica,77,4,1,0
RS,16º CRE (Bento Gonçalves),Língua Portuguesa,linguaportuguesa,47,2,7,5
RS,16º CRE (Bento Gonçalves),Matemática,matematica,72,2,7,5
RS,13º CRE (Bagé),Ciências,ciencias,879,27,3,0
RS,24º CRE (Cachoeira do Sul),Educação física,educacaofisica,0,3,2,0
RS,24º CRE (Cachoeira do Sul),Pedagogia,pedagogia,82,4,34,30
RS,28º CRE (Gravataí),Matemática,matematica,150,2,19,17
RS,27º CRE (Canoas),Biologia,biologia,0,12,2,0
RS,27º CRE (Canoas),Educação física,educacaofisica,597,23,5,0
RS,27º CRE (Canoas),Física,fisica,0,1,2,0
