UF,regional,municipio,co_municipio,no_municipio
GO,CRE-TRINDADE,ABADIA DE GOIÁS,5200050,Abadia de Goiás
MG,SRE MONTE CARMELO,ABADIA DOS DOURADOS,3100104,Abadia dos Dourados
GO,CRE-ANÁPOLIS,ABADIÂNIA,5200100,Abadiânia
MG,SRE PARÁ DE MINAS,ABAETÉ,3100203,Abaeté
PA,abaetetuba,abaetetuba,1500107,Abaetetuba
CE,CREDE 20,Abaiara,2300101,Abaiara
BA,3,Abaíra,2900108,Abaíra
BA,24,ABARE,2900207,Abaré
PR,JACAREZINHO,ABATIA,4100103,Abatiá
SC,Coordenadoria Regional de Educação de Campos Novos,Abdon Batista,4200051,Abdon Batista
PA,"",abel figueiredo,1500131,Abel Figueiredo
SC,Coordenadoria Regional de Educação de Xanxerê,Abelardo Luz,4200101,Abelardo Luz
MG,SRE PONTE NOVA,ABRE CAMPO,3100302,Abre Campo
PE,METROPOLITANA NORTE,Abreu e Lima,2600054,Abreu e Lima
TO,PARAISO DO TOCANTINS,Abreulândia,1700251,Abreulândia
MG,SRE OURO PRETO,ACAIACA,3100401,Acaiaca
MA,açailandia,açailandia,2100055,Açailândia
BA,18,ACAJUTIBA,2900306,Acajutiba
PA,abaetetuba,acará,1500206,Acará
CE,CREDE 08,Acarape,2300150,Acarape
CE,CREDE 03,Acaraú,2300200,Acaraú
RN,9,acari,2400109,Acari
PI,17ª,ACAUA,2200053,Acauã
RS,13º CRE (Bagé),Aceguá,4300034,Aceguá
CE,CREDE 16,Acopiara,2300309,Acopiara
MT,VÁRZEA GRANDE,Acorizal,5100102,Acorizal
AC,BAIXO ACRE,ACRELÂNDIA,1200013,Acrelândia
GO,CRE-SANTA HELENA,ACREÚNA,5200134,Acreúna
RN,11,Açu,2400208,Açu
MG,SRE GOVERNADOR VALADARES,AÇUCENA,3100500,Açucena
SP,ADAMANTINA,ADAMANTINA,3500105,Adamantina
GO,CRE-SÃO L. M. BELOS,ADELÂNDIA,5200159,Adelândia
SP,JOSE BONIFACIO,ADOLFO,3500204,Adolfo
PR,AREA METROPOLITANA NORTE,ADRIANOPOLIS,4100202,Adrianópolis
BA,17,Adustina,2900355,Adustina
PE,SERTÃO DO ALTO PAJEÚ (AFOGADOS DA INGAZEIRA),Afogados da Ingazeira,2600104,Afogados da Ingazeira
RN,8,afonso bezerra,2400307,Afonso Bezerra
ES,SRE Afonso Cláudio,Afonso Cláudio,3200102,Afonso Cláudio
MA,caxias,afonso cunha,2100105,Afonso Cunha
PE,SERTÃO DO MÉDIO SÃO FRANCISCO (PETROLINA),Afrânio,2600203,Afrânio
PA,afuá,afuá,1500305,Afuá
PE,AGRESTE CENTRO NORTE (CARUARU),Agrestina,2600302,Agrestina
PI,06ª,AGRICOLANDIA,2200103,Agricolândia
SC,Coordenadoria Regional de Educação de Rio do Sul,Agrolândia,4200200,Agrolândia
SC,Coordenadoria Regional de Educação de Rio do Sul,Agronômica,4200309,Agronômica
PA,Xinguara,água azul do Norte,1500347,Água Azul do Norte
MT,BARRA DO GARÇAS,Água Boa,5100201,Água Boa
MG,SRE GUANHÃES,ÁGUA BOA,3100609,Água Boa
AL,11a GEE,Água Branca,2700102,Água Branca
PB,Princesa Isabel,Água Branca,2500106,Água Branca
PI,06ª,AGUA BRANCA,2200202,Água Branca
MS,CRE 12,Água Clara,5000203,Água Clara
MG,SRE UBERABA,ÁGUA COMPRIDA,3100708,Água Comprida
SC,Coordenadoria Regional de Educação de Joaçaba,Água Doce,4200408,Água Doce
MA,chapadinha,agua doce do maranhao,2100154,Água Doce do Maranhão
ES,SRE Barra de São Francisco,Água Doce do Norte,3200169,Água Doce do Norte
BA,19,AGUA FRIA,2900405,Água Fria
GO,CRE-PLANALTINA,ÁGUA FRIA DE GOIÁS,5200175,Água Fria de Goiás
GO,CRE-MORRINHOS,ÁGUA LIMPA,5200209,Água Limpa
RN,15,agua nova,2400406,Água Nova
PE,MATA SUL (PALMARES),Água Preta,2600401,Água Preta
RS,7º CRE (Passo Fundo),Água Santa,4300059,Água Santa
SP,SAO JOAO DA BOA VISTA,AGUAI,3500303,Aguaí
MG,SRE CAMPO BELO,AGUANIL,3100807,Aguanil
PE,AGRESTE MERIDIONAL (GARANHUNS),Águas Belas,2600500,Águas Belas
SP,SAO JOAO DA BOA VISTA,AGUAS DA PRATA,3500402,Águas da Prata
SC,Coordenadoria Regional de Educação de Palmitos,Águas de Chapecó,4200507,Águas de Chapecó
SP,MOGI MIRIM,AGUAS DE LINDOIA,3500501,Águas de Lindóia
SP,AVARE,AGUAS DE SANTA BARBARA,3500550,Águas de Santa Bárbara
SP,PIRACICABA,AGUAS DE SAO PEDRO,3500600,Águas de São Pedro
MG,SRE TEÓFILO OTONI,ÁGUAS FORMOSAS,3100906,Águas Formosas
SC,Coordenadoria Regional de Educação de Chapecó,Águas Frias,4200556,Águas Frias
GO,CRE-ÁGUAS LINDAS,ÁGUAS LINDAS DE GOIÁS,5200258,Águas Lindas de Goiás
SC,Coordenadoria Regional de Educação de Florianópolis,Águas Mornas,4200606,Águas Mornas
MG,SRE ALMENARA,ÁGUAS VERMELHAS,3101003,Águas Vermelhas
RS,24º CRE (Cachoeira do Sul),Agudo,4300109,Agudo
SP,BAURU,AGUDOS,3500709,Agudos
PR,AREA METROPOLITANA SUL,AGUDOS DO SUL,4100301,Agudos do Sul
ES,SRE Barra de São Francisco,Águia Branca,3200136,Águia Branca
PB,Itaporanga,Aguiar,2500205,Aguiar
TO,TOCANTINOPOLIS,Aguiarnópolis,1700301,Aguiarnópolis
MG,SRE GOVERNADOR VALADARES,AIMORÉS,3101102,Aimorés
BA,22,AIQUARA,2900603,Aiquara
CE,CREDE 15,Aiuaba,2300408,Aiuaba
MG,SRE CAXAMBU,AIURUOCA,3101201,Aiuruoca
RS,36º CRE (Ijuí),Ajuricaba,4300208,Ajuricaba
MG,SRE CAXAMBU,ALAGOA,3101300,Alagoa
PB,Campina Grande,Alagoa Grande,2500304,Alagoa Grande
PB,Campina Grande,Alagoa Nova,2500403,Alagoa Nova
PB,Guarabira,Alagoinha,2500502,Alagoinha
PE,SERTÃO DO MOXOTÓ IPANEMA (ARCOVERDE),Alagoinha,2600609,Alagoinha
PI,16ª,Alagoinha do Piauí,2200251,Alagoinha do Piauí
BA,18,ALAGOINHAS,2900702,Alagoinhas
SP,ITAPETININGA,ALAMBARI,3500758,Alambari
MG,SRE POUSO ALEGRE,ALBERTINA,3101409,Albertina
MA,são luis,alcantara,2100204,Alcântara
CE,CREDE 06,Alcântaras,2300507,Alcântaras
PB,Campina Grande,Alcantil,2500536,Alcantil
MS,CRE 4,Alcinópolis,5000252,Alcinópolis
BA,7,Alcobaça,2900801,Alcobaça
MA,caxias,aldeias altas,2100303,Aldeias Altas
RS,17º CRE (Santa Rosa),Alecrim,4300307,Alecrim
ES,SRE Guaçuí,Alegre,3200201,Alegre
RS,10º CRE (Uruguaiana),Alegrete,4300406,Alegrete
PI,16ª,ALEGRETE DO PIAUI,2200277,Alegrete do Piauí
RS,17º CRE (Santa Rosa),Alegria,4300455,Alegria
MG,SRE LEOPOLDINA,ALÉM PARAÍBA,3101508,Além Paraíba
PA,Monte alegre,alenquer,1500404,Alenquer
RN,15,alexandria,2400505,Alexandria
GO,CRE-ANÁPOLIS,ALEXÂNIA,5200308,Alexânia
MG,SRE VARGINHA,ALFENAS,3101607,Alfenas
ES,SRE Vila Velha,Alfredo Chaves,3200300,Alfredo Chaves
SP,PRESIDENTE PRUDENTE,ALFREDO MARCONDES,3500808,Alfredo Marcondes
MG,SRE BARBACENA,ALFREDO VASCONCELOS,3101631,Alfredo Vasconcelos
SC,Coordenadoria Regional de Educação de Ituporanga,Alfredo Wagner,4200705,Alfredo Wagner
PB,Campina Grande,Algodão de Jandaíra,2500577,Algodão de Jandaíra
PB,João Pessoa,Alhandra,2500601,Alhandra
PE,MATA NORTE (NAZARÉ DA MATA),Aliança,2600708,Aliança
TO,GURUPI,Aliança do Tocantins,1700350,Aliança do Tocantins
BA,5,Almadina,2900900,Almadina
TO,DIANOPOLIS,Almas,1700400,Almas
PA,Monte alegre,almeirim,1500503,Almeirim
MG,SRE ALMENARA,ALMENARA,3101706,Almenara
RN,14,almino afonso,2400604,Almino Afonso
PR,AREA METROPOLITANA NORTE,ALMIRANTE TAMANDARE,4100400,Almirante Tamandaré
RS,39º CRE (Carazinho),Almirante Tamandaré do Sul,4300471,Almirante Tamandaré do Sul
GO,CRE-GOIATUBA,ALOÂNDIA,5200506,Aloândia
MG,SRE GOVERNADOR VALADARES,ALPERCATA,3101805,Alpercata
RS,20º CRE (Palmeira das Missões),Alpestre,4300505,Alpestre
MG,SRE PASSOS,ALPINÓPOLIS,3101904,Alpinópolis
MT,ALTA FLORESTA,Alta Floresta,5100250,Alta Floresta
RO,ALTA FLORESTA,Alta Floresta D'Oeste,1100015,Alta Floresta D'Oeste
SP,BARRETOS,ALTAIR,3500907,Altair
PA,altamira,altamira,1500602,Altamira
MA,bacabal,altamira do maranhao,2100402,Altamira do Maranhão
PR,CAMPO MOURAO,ALTAMIRA DO PARANA,4100459,Altamira do Paraná
CE,CREDE 18,Altaneira,2300606,Altaneira
MG,SRE POÇOS DE CALDAS,ALTEROSA,3102001,Alterosa
PE,AGRESTE CENTRO NORTE (CARUARU),Altinho,2600807,Altinho
SP,RIBEIRAO PRETO,ALTINOPOLIS,3501004,Altinópolis
RS,25º CRE (Soledade),Alto Alegre,4300554,Alto Alegre
RR,RR,Alto Alegre,1400050,Alto Alegre
SP,PENAPOLIS,ALTO ALEGRE,3501103,Alto Alegre
MA,codo,alto alegre do maranhao,2100436,Alto Alegre do Maranhão
MA,santa ines,alto alegre do pindare,2100477,Alto Alegre do Pindaré
RO,ALTA FLORESTA,Alto Alegre dos Parecis,1100379,Alto Alegre dos Parecis
MT,RONDONÓPOLIS,Alto Araguaia,5100300,Alto Araguaia
SC,Coordenadoria Regional de Educação de Concórdia,Alto Bela Vista,4200754,Alto Bela Vista
MT,CONFRESA,Alto Boa Vista,5100359,Alto Boa Vista
MG,SRE CARANGOLA,ALTO CAPARAÓ,3102050,Alto Caparaó
RN,6,alto do rodrigues,2400703,Alto do Rodrigues
RS,2º CRE (São Leopoldo),Alto Feliz,4300570,Alto Feliz
MT,RONDONÓPOLIS,Alto Garças,5100409,Alto Garças
GO,CRE-URUAÇU,ALTO HORIZONTE,5200555,Alto Horizonte
MG,SRE MANHUAÇU,ALTO JEQUITIBÁ,3153509,Alto Jequitibá
PI,18ª,ALTO LONGA,2200301,Alto Longá
MT,DIAMANTINO,Alto Paraguai,5100508,Alto Paraguai
PR,UMUARAMA,ALTO PARAISO,4128625,Alto Paraíso
RO,ARIQUEMES,Alto Paraíso,1100403,Alto Paraíso
GO,CRE-PLANALTINA,ALTO PARAISO DE GOIÁS,5200605,Alto Paraíso de Goiás
PR,PARANAVAI,ALTO PARANA,4100608,Alto Paraná
MA,balsas,alto parnaiba,2100501,Alto Parnaíba
PR,UMUARAMA,ALTO PIQUIRI,4100707,Alto Piquiri
MG,SRE BARBACENA,ALTO RIO DOCE,3102100,Alto Rio Doce
ES,SRE Colatina,Alto Rio Novo,3200359,Alto Rio Novo
CE,CREDE 10,Alto Santo,2300705,Alto Santo
MT,RONDONÓPOLIS,Alto Taquari,5100607,Alto Taquari
PR,UMUARAMA,ALTONIA,4100509,Altônia
PI,18ª,ALTOS,2200400,Altos
SP,SAO ROQUE,ALUMINIO,3501152,Alumínio
AM,Centro Amazonense,Alvarães,1300029,Alvarães
MG,SRE CARATINGA,ALVARENGA,3102209,Alvarenga
SP,VOTUPORANGA,ALVARES FLORENCE,3501202,Álvares Florence
SP,PRESIDENTE PRUDENTE,ALVARES MACHADO,3501301,Álvares Machado
SP,MARILIA,ALVARO DE CARVALHO,3501400,Álvaro de Carvalho
SP,MARILIA,ALVINLANDIA,3501509,Alvinlândia
MG,SRE PONTE NOVA,ALVINÓPOLIS,3102308,Alvinópolis
RS,28º CRE (Gravataí),Alvorada,4300604,Alvorada
TO,GURUPI,Alvorada,1700707,Alvorada
RO,JI-PARANÁ,Alvorada D'Oeste,1100346,Alvorada D'Oeste
MG,SRE DIAMANTINA,ALVORADA DE MINAS,3102407,Alvorada de Minas
PI,14ª,ALVORADA DO GURGUEIA,2200459,Alvorada do Gurguéia
GO,CRE-POSSE,ALVORADA DO NORTE,5200803,Alvorada do Norte
PR,LONDRINA,ALVORADA DO SUL,4100806,Alvorada do Sul
RR,RR,Amajari,1400027,Amajari
MS,CRE 11,Amambai,5000609,Amambai
AP,AP,Amapa,1600105,Amapá
MA,ze doca,amapa do maranhao,2100550,Amapá do Maranhão
PR,PARANAVAI,AMAPORA,4100905,Amaporã
PE,MATA SUL (PALMARES),Amaraji,2600906,Amaraji
RS,5º CRE (Pelotas),Amaral Ferrador,4300638,Amaral Ferrador
GO,CRE-URUAÇU,AMARALINA,5200829,Amaralina
PI,06ª,AMARANTE,2200509,Amarante
MA,imperatriz,amarante do maranhao,2100600,Amarante do Maranhão
BA,9,Amargosa,2901007,Amargosa
AM,Sudoeste Amazonense,Amaturá,1300060,Amaturá
BA,19,AMELIA RODRIGUES,2901106,Amélia Rodrigues
BA,1,América Dourada,2901155,América Dourada
SP,AMERICANA,AMERICANA,3501608,Americana
GO,CRE-ITABERAI,AMERICANO DO BRASIL,5200852,Americano do Brasil
SP,ARARAQUARA,AMERICO BRASILIENSE,3501707,Américo Brasiliense
SP,VOTUPORANGA,AMERICO DE CAMPOS,3501806,Américo de Campos
RS,20º CRE (Palmeira das Missões),Ametista do Sul,4300646,Ametista do Sul
CE,CREDE 02,Amontada,2300754,Amontada
GO,CRE-IPORÁ,AMORINÓPOLIS,5200902,Amorinópolis
PB,Monteiro,Amparo,2500734,Amparo
SP,MOGI MIRIM,AMPARO,3501905,Amparo
SE,DRE06,AMPARO DE SÃO FRANCISCO,2800100,Amparo do São Francisco
MG,SRE PONTE NOVA,AMPARO DO SERRA,3102506,Amparo do Serra
PR,FRANCISCO BELTRAO,AMPERE,4101002,Ampére
AL,2a GEE,Anadia,2700201,Anadia
BA,20,ANAGE,2901205,Anagé
PR,CASCAVEL,ANAHY,4101051,Anahy
PA,Breves,anajás,1500701,Anajás
MA,itapecuru-mirim,anajatuba,2100709,Anajatuba
SP,PIRASSUNUNGA,ANALANDIA,3502002,Analândia
AM,Centro Amazonense,Anamã,1300086,Anamã
TO,ARAGUAINA,Ananás,1701002,Ananás
PA,ananindeua,ananindeua,1500800,Ananindeua
GO,CRE-ANÁPOLIS,ANÁPOLIS,5201108,Anápolis
PA,altamira,anapu,1500859,Anapu
MA,chapadinha,anapurus,2100808,Anapurus
MS,CRE 1,Anastácio,5000708,Anastácio
MS,CRE 9,Anaurilândia,5000807,Anaurilândia
ES,SRE Vila Velha,Anchieta,3200409,Anchieta
SC,Coordenadoria Regional de Educação de Dionísio Cerqueira,Anchieta,4200804,Anchieta
BA,3,Andaraí,2901304,Andaraí
PR,JACAREZINHO,ANDIRA,4101101,Andirá
BA,25,ANDORINHA,2901353,Andorinha
MG,SRE POÇOS DE CALDAS,ANDRADAS,3102605,Andradas
SP,ANDRADINA,ANDRADINA,3502101,Andradina
RS,16º CRE (Bento Gonçalves),André da Rocha,4300661,André da Rocha
MG,SRE BARBACENA,ANDRELÂNDIA,3102803,Andrelândia
