estado_padronizado,municipio_padronizado,UF_CAMPUS,co_uf,no_uf,co_municipio,no_municipio,NOME_CURSO_AJ_2,abaixo_550_abaixo_650,acima_550_abaixo_650,acima_550_acima_650
ACRE,CRUZEIRO DO SUL,AC,12,Acre,1200203,Cruzeiro do Sul,biologia,379,151,14
ACRE,CRUZEIRO DO SUL,AC,12,Acre,1200203,Cruzeiro do Sul,linguaportuguesa,523,212,28
ACRE,CRUZEIRO DO SUL,AC,12,Acre,1200203,Cruzeiro do Sul,pedagogia,328,112,9
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,biologia,233,145,35
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,educacaofisica,840,341,56
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,fisica,147,71,15
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,geografia,276,175,14
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,historia,478,281,69
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,linguaportuguesa,546,373,81
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,matematica,102,67,31
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,pedagogia,362,167,33
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,quimica,107,70,14
ACRE,RIO BRANCO,AC,12,Acre,1200401,Rio Branco,sociologia,262,123,29
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,biologia,505,234,30
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,educacaofisica,442,170,36
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,fisica,121,51,7
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,geografia,235,70,1
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,historia,165,162,23
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,linguaportuguesa,444,288,36
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,matematica,219,151,18
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,pedagogia,704,249,15
ALAGOAS,ARAPIRACA,AL,27,Alagoas,2700300,Arapiraca,quimica,295,74,8
ALAGOAS,DELMIRO GOUVEIA,AL,27,Alagoas,2702405,Delmiro Gouveia,geografia,172,47,4
ALAGOAS,DELMIRO GOUVEIA,AL,27,Alagoas,2702405,Delmiro Gouveia,historia,182,95,7
ALAGOAS,DELMIRO GOUVEIA,AL,27,Alagoas,2702405,Delmiro Gouveia,linguaportuguesa,143,82,3
ALAGOAS,DELMIRO GOUVEIA,AL,27,Alagoas,2702405,Delmiro Gouveia,pedagogia,273,88,4
ALAGOAS,MACEIO,AL,27,Alagoas,2704302,Maceió,biologia,582,391,36
